County,n,long,lat,group,order,region
monroe,1,-81.216766357421875,25.559646606445312,333,13789,florida
monroe,1,-81.24541473388672,25.57110595703125,333,13790,florida
monroe,1,-81.25114440917969,25.588294982910156,333,13791,florida
monroe,1,-81.2855224609375,25.65705108642578,333,13792,florida
monroe,1,-81.31417083740234,25.685697555541992,333,13793,florida
monroe,1,-81.33135986328125,25.7028865814209,333,13794,florida
monroe,1,-81.3600082397461,25.765911102294922,333,13795,florida
monroe,1,-81.38292694091797,25.800289154052734,333,13796,florida
nassau,1,-81.55481719970703,30.716266632080078,334,13798,florida
nassau,1,-81.5376205444336,30.687620162963867,334,13799,florida
nassau,1,-81.52616119384766,30.687620162963867,334,13800,florida
nassau,1,-81.50897979736328,30.676158905029297,334,13801,florida
nassau,1,-81.50325012207031,30.67043113708496,334,13802,florida
nassau,1,-81.4803237915039,30.676158905029297,334,13803,florida
nassau,1,-81.46314239501953,30.681888580322266,334,13804,florida
nassau,1,-81.4516830444336,30.681888580322266,334,13805,florida
nassau,1,-81.4516830444336,30.67043113708496,334,13806,florida
nassau,1,-81.46314239501953,30.641782760620117,334,13807,florida
nassau,1,-81.4688720703125,30.618864059448242,334,13808,florida
nassau,1,-81.47460174560547,30.595945358276367,334,13809,florida
nassau,1,-81.45741271972656,30.567298889160156,334,13810,florida
nassau,1,-81.45741271972656,30.555837631225586,334,13811,florida
nassau,1,-81.4516830444336,30.53291893005371,334,13812,florida
nassau,1,-81.50325012207031,30.53291893005371,334,13813,florida
nassau,1,-81.50897979736328,30.515731811523438,334,13814,florida
nassau,1,-81.531890869140625,30.515731811523438,334,13815,florida
nassau,1,-81.54908752441406,30.53291893005371,334,13816,florida
nassau,1,-81.56626892089844,30.538650512695312,334,13817,florida
nassau,1,-81.58345794677734,30.550111770629883,334,13818,florida
nassau,1,-81.60065460205078,30.550111770629883,334,13819,florida
nassau,1,-81.60065460205078,30.555837631225586,334,13820,florida
nassau,1,-81.60065460205078,30.573026657104492,334,13821,florida
nassau,1,-81.61210632324219,30.573026657104492,334,13822,florida
nassau,1,-81.64076232910156,30.567298889160156,334,13823,florida
nassau,1,-81.65794372558594,30.550111770629883,334,13824,florida
nassau,1,-81.68087005615234,30.555837631225586,334,13825,florida
nassau,1,-81.70951080322266,30.561569213867188,334,13826,florida
nassau,1,-81.7209701538086,30.538650512695312,334,13827,florida
nassau,1,-81.74388885498047,30.5100040435791,334,13828,florida
nassau,1,-82.04182434082031,30.263629913330078,334,13829,florida
nassau,1,-82.04756164550781,30.361034393310547,334,13830,florida
nassau,1,-82.04756164550781,30.383953094482422,334,13831,florida
nassau,1,-82.03609466552734,30.441247940063477,334,13832,florida
nassau,1,-82.030364990234375,30.515731811523438,334,13833,florida
nassau,1,-82.0246353149414,30.555837631225586,334,13834,florida
nassau,1,-82.030364990234375,30.584487915039062,334,13835,florida
nassau,1,-82.04756164550781,30.618864059448242,334,13836,florida
nassau,1,-82.05329132080078,30.70480728149414,334,13837,florida
nassau,1,-82.05329132080078,30.733457565307617,334,13838,florida
nassau,1,-82.04756164550781,30.75064468383789,334,13839,florida
nassau,1,-82.0246353149414,30.767833709716797,334,13840,florida
nassau,1,-82.0246353149414,30.790752410888672,334,13841,florida
nassau,1,-82.01317596435547,30.79648208618164,334,13842,florida
nassau,1,-81.984527587890625,30.790752410888672,334,13843,florida
nassau,1,-81.97306823730469,30.79648208618164,334,13844,florida
nassau,1,-81.96161651611328,30.807941436767578,334,13845,florida
nassau,1,-81.94441986083984,30.82512855529785,334,13846,florida
nassau,1,-81.92723846435547,30.82512855529785,334,13847,florida
nassau,1,-81.892852783203125,30.830860137939453,334,13848,florida
nassau,1,-81.87567138671875,30.807941436767578,334,13849,florida
nassau,1,-81.83556365966797,30.790752410888672,334,13850,florida
nassau,1,-81.80118560791016,30.790752410888672,334,13851,florida
nassau,1,-81.77253723144531,30.767833709716797,334,13852,florida
nassau,1,-81.74961853027344,30.773563385009766,334,13853,florida
nassau,1,-81.73242950439453,30.762104034423828,334,13854,florida
nassau,1,-81.69232177734375,30.733457565307617,334,13855,florida
nassau,1,-81.669403076171875,30.744915008544922,334,13856,florida
nassau,1,-81.65221405029297,30.744915008544922,334,13857,florida
nassau,1,-81.6350326538086,30.727725982666016,334,13858,florida
nassau,1,-81.60065460205078,30.721996307373047,334,13859,florida
nassau,1,-81.55481719970703,30.716266632080078,334,13860,florida
okaloosa,12,-86.79737091064453,31.008474349975586,335,13862,florida
okaloosa,12,-86.70569610595703,31.008474349975586,335,13863,florida
okaloosa,12,-86.39057159423828,31.008474349975586,335,13864,florida
okaloosa,12,-86.39630889892578,30.75064468383789,335,13865,florida
okaloosa,12,-86.40203857421875,30.492813110351562,335,13866,florida
okaloosa,12,-86.4249496459961,30.492813110351562,335,13867,florida
okaloosa,12,-86.44214630126953,30.492813110351562,335,13868,florida
okaloosa,12,-86.45360565185547,30.504274368286133,335,13869,florida
okaloosa,12,-86.465057373046875,30.515731811523438,335,13870,florida
okaloosa,12,-86.47078704833984,30.53291893005371,335,13871,florida
okaloosa,12,-86.48224639892578,30.53291893005371,335,13872,florida
okaloosa,12,-86.50516510009766,30.53291893005371,335,13873,florida
okaloosa,12,-86.510894775390625,30.515731811523438,335,13874,florida
okaloosa,12,-86.50516510009766,30.504274368286133,335,13875,florida
okaloosa,12,-86.510894775390625,30.487085342407227,335,13876,florida
okaloosa,12,-86.52808380126953,30.481355667114258,335,13877,florida
okaloosa,12,-86.556732177734375,30.487085342407227,335,13878,florida
okaloosa,12,-86.56819152832031,30.481355667114258,335,13879,florida
okaloosa,12,-86.58538055419922,30.458436965942383,335,13880,florida
okaloosa,12,-86.6082992553711,30.458436965942383,335,13881,florida
okaloosa,12,-86.62548828125,30.446979522705078,335,13882,florida
okaloosa,12,-86.67705535888672,30.446979522705078,335,13883,florida
okaloosa,12,-86.75727081298828,30.446979522705078,335,13884,florida
okaloosa,12,-86.80310821533203,30.446979522705078,335,13885,florida
okaloosa,12,-86.79737091064453,30.773563385009766,335,13886,florida
okaloosa,12,-86.79737091064453,31.008474349975586,335,13887,florida
okaloosa,12,-86.40203857421875,30.446979522705078,336,13889,florida
okaloosa,12,-86.40203857421875,30.401142120361328,336,13890,florida
